improve	を向上させる；よくなる
habit	習慣、久世
cell	細部；小個室；電池
fuel	燃料；勢いを増加させるもの
bill	請求書；法案
charge	料金；世話；管理；告発
fine	罰金
temperture	温度；体温；熱
decade	10年間
emotion	感情、情動；感動
explanation	説明；解釈；地優
solution	解決（策）；溶液
degree	程度；度；学位；等級
access	接近、利用（の機会）
contrast	（…との）対照（with/to）
status	地位；状態
surface	表面；外見
conflict	争い；論争；不一致
audience	（集合的に）聴衆；視聴者
clay	粘土
epoch	時代；画期的な出来事
profit	利益；収益（率）；得
income	収入
ancestor	先祖；先駆者；原型
crop	作物；収穫高
signifucant	重要な；意義深い
necessary	必要な
appropriate	（…に）適切な
correct	正しい；適切な
worth	の価値がある；（〜する）に値する
positive	積極的な；肯定的な；明確な；確信して
plastic	柔軟な；プラスチックの、ビニールの
political	政治（上）の
official	公式の；公用の；役所の
private	私的な；民営の
ancient	古代の；昔からの
due	（支払）期日で；予定された；しかるべき
complex	複雑な；複合（対）の
mobile	可動[移動]式の；流動性のある
blank	空白の；無表情な；がらんとした
male	男性の；男らしい
therefore	それゆえに
thus	したがって
eventually	結局（は）
otherwise	さもなければ、その他の点では；違った風に
despite	…にもかかわらず
both	両方とも；両方の
succeed	に成功する；を継承する
identify	を特定する；を同一視する
reflect	を反映する；を反射する；を熟考する
assume	を当然のことと思う；を手に入れる；を引き受ける
estimate	と推定する；を見積もる；を評価する
define	を定義する；を規定する
indicate	を指し示す；を述べる
reveal	を明らかにする；を見せる
attempt	を試みる。企てる
respond	反応する；答える
associate	を結び付けて考える；交換する
examine	を調べる；を診察する；を尋問する
address	を扱う；に演説する；を出す
trust	を信頼する
doubt	を疑う；（…では）ないと思う
ignore	を無視する
refuse	を拒む；断る
complain	（と）不平[苦情]を言う；訴える
decrease	減少する；を減らす
vary	さまざまである
emerge	現れる；明らかになる；
match	と合う；に匹敵する
stick	を動けなくさせる；くっつく
hide	を隠す；隠れる
attract	を引きつける
promote	を促進する；昇進する
satisfy	を満足させる；を満たす
earn	を稼ぐ；を得る；をもたらす
preserve	を保持する；を守る；を保護する
enable	（人）にとって（〜するのを）可能にする
destroy	を破壊する；を破滅させる
tear	を引き裂く；裂ける
suffer	苦しむ；患う；を経験する
survey	を調査する；を概観する
divide	を分ける；分かれる
conduct	を実施する
graduate	卒業する
contribute	寄与[貢献]する；を寄付する；を寄稿する
desire	を強く望む
relax	くつろぐ；緩む；をくつろがせる；を緩める
target	（到達）目標；的
aim	目的
principle	主義、新庄；原則、原理
norm	模範；標準
strategy	戦略
track	跡；起動
progress	進歩；全身
personality	個性、性格
characteristic	特徴
manner	方法；物腰；作法
device	装置、機器；方策
origin	起源；源
gene	遺伝子
atmosphere	大気；雰囲気
trend	傾向；流行
phenomenon	現象
context	状況、背景；文脈
circumstance	状況、事情；境遇
pain	苦痛；苦悩；骨折り
struggle	闘い；懸命の度勅
polution	汚染
threat	脅威；兆し、恐れ；脅迫
disaster	災害；惨事
consequence	結果；重大性
revolution	革命；回転；公転
majority	大部分；多数派
mass	かたまり；大量；一般大衆
stock	在庫品；蓄え；下部
wealth	富；資源；富裕（状態）
literature	文学；文献；印刷物
authority	（関係）当局；毛に；権限
institution	機関；協会；施設；制度
custom	慣習；税関；関税
sight	光景；名所；目にすること；視野；視力
display	表れ；展示；誇示
colleague	同僚
resident	居住者
vehicle	乗り物、車；伝達手段、媒体
essential	必要不可欠な；本質的な
aware	気付いて
mental	精神の；知能の
academic	学問の；大学の
ordinary	並みの；普通の；常勤の
familiar	精通している；よく知られている
novel	目新しい、斬新な
specific	特定の；明確な、具体的な；特有の
chemical	科学の、科学的な
financial	財政（上）の；財界の
active	活動的な；効力のある；積極的な
negative	否定の；消極的な；負の
direct	直接の；率直な
obvious	明らかな
current	現在の；現代の；通用している
urban	都市の；と快適な
furthermore	さらに
likewise	同様に
though	けれど
nevertheless	それにもかかわらず
thereby	それによって
hence	それゆえに
appreciate	を正当に評価する；を鑑賞する；を感謝する
admit	を認める；に入学[入場等]を認める
predict	を予言[予測]する
acquire	を得る；を習得する
adopt	を採用する；をとる；を養子にする
purchase	を購入する
afford	を持つ[する]余裕がある；を与える
consume	を消費する；を食べる、飲む
remove	を取り除く；を解雇する
suit	に適する；に似合う；を適合させる
expand	を拡大する；を詳説する
extend	を伸ばす、延ばす；伸びる、及ぶ
explore	を調査する、を探検する
judge	を判断する；に判決を下す
demonstrate	を論証[照明]する；デモをする
insist	を強く主張する
appeal	訴える；講義する；上訴する
convince	を納得[確信]させる
settle	を解決する；移り住む
aid	を援助する、助ける
educate	を教育する；に教える；を養う
engage	を従事させる；を雇う
combine	を結び付ける；と結び付く
organize	を組織する；を準備する
operate	を操作する；機能する；手術する
recall	を思い出す；を呼び戻す
rely	頼る
amaze	をびっくりさせる
confuse	を混同する；を当惑させる
blame	を責める；の責任を負わせる
criticize	を批判する；を批評する
behave	ふるまう；作用する
encounter	に遭遇する；に（思いがけずに）出会う
select	を選ぶ、精選する
flow	流れる、生じる
evolve	（徐々に）発展する；進化する
freeze	凍る；態度を硬くする；を凍らせる
release	を放出する；を解放する；を発表する
locate	の位置を探し当てる；位置する
advertise	を宣伝する、広告を出す
imagination	想像（力）
perspective	観点；大局観；遠近法
confidence	自信；信頼；秘密
achievement	業績；達成、成就
reward	報酬；報い
corporation	（大）企業；法人
capital	資本；首都；大文字
client	顧客；依頼人
crisis	危機
harm	害
victim	犠牲（者）、被害者
option	選択（の自由）；選択し
campaign	運動；軍事行動
court	裁判所、法廷；裁判；宮廷；中庭
code	規範；暗号、符号；法典
criminal	犯罪者、犯人
agriculture	農業；農学、畜産
religion	宗教；信条；信仰（心）
philosophy	哲学；原理；人生観
conference	会議；協議
document	（公）文書；記録、資料
statistics	統計、統計学
analysis	分析（結果）
hypothesis	仮説；憶測
notion	概念、観念；見解；意向
stereotype	固定観念；決まり文句
review	（書物などの）論評；再調査
vocabulary	語彙
organize	臓器；組織
gender	（社会的・文化的）性別
fossil	化石；時代遅れの人[物]
glacier	氷河
laboratory	実験室、研究室
virus	ウイルス；病原体
occasion	場合、時；行事；機会
minister	大臣；聖職者
presence	存在；出席；面前
substance	物質；実質；趣旨
creative	創造的な、独創的な；想像力のある
potential	潜在的な；可能性を秘めた
independent	独立した
willing	いとわない
efficient	効率的な；有能な
ideal	理想的な；観念的な
genetic	遺伝（子）の；発生の
entire	全体の、全部の；完全な
relative	相対的な；比較上の；関連した
extreme	極端な；極度の、過激な
vast	広大な；莫大な
tiny	とても小さな；わずかな
desert	人の住まない；砂漠の（ような）
rural	田舎の
previous	以前の、前の
legal	法律の；合法の
nowadays	近頃は
seldom	めったに…ない
meanwhile	（２つの事柄を対比して）一方、その間
latter	（二者のうち）後者
versus	（A　versus B　で）A対B;AかBか
all	すべて（のもの）；全く
perceive	を知覚する
expect	を予期する；を期待する
intend	を意図する
request	要請する；に頼む
remind	に思い出させる
inspire	（人）を触発する；を喚起する
fascinate	を魅了する
emphasize	を強調する；を重視する
recommend	を勧める
propose	を提案する；をもくろむ；結婚を申し込む
distinguish	を区別する
complicate	を複雑に数
transform	を変える；変わる
credit	（功績奈呉）を帰する；を信じる
reserve	（判断などを）保留する；を予約する
oppose	に反対する；を対抗[対比]させる
deny	を否定する；を拒む
reject	を拒否する
ban	を（法的に）禁止する；を締めだす
frighten	（人）を怖がらせる
participate	参加する
compete	競う；匹敵する
overcome	を克服する
arise	生じる
generate	を生み出す
obtain	を得る
employ	を雇う；を使う
import	を輸入する；を取り入れる
handle	を処理する；を論じる；を商う
repair	を修理する；を修復する
cure	を治す；を除去する；を治る
transport	を輸送する
deliver	を配達する；（演説・講義）をする；仔を生む
rush	急いで行く；性急に行動する；をせき立てる
commit	深くかかわる；を犯す
hate	をひどく嫌う；を残念に思う
regret	を後悔する
consist	（…から）成る；ある
translate	を翻訳する；を変える
conclude	と結論付ける；を締めくくる；を締結する
comfort	快適さ；慰め
facility	施設、設備；機能；才能
trait	特性
humanity	人類；人間性；人情部族
tribe	部族
elite	エリート
lawyer	弁護士
category	分類；区分
vaersion	（本・製品などの）版；解釈
diversity	多様性；相違点
proportion	割合；部分；つり合い
instrument	器具；楽器
innovation	革新；新機軸
weapon	兵器、武器
dialect	方言
barrier	（に対する）障壁；防壁；境界線
myth	作り話；神話
ritual	儀式；（日常の）習慣行為
routine	決まり切った仕事；いつもの手順
emergency	緊急（事態）
alarm	不安；警報
harvest	収穫（物）；漁獲高
grain	穀物；粒；きめ
quantity	量
budget	予算；経費
expense	経費；費用；犠牲
insurance	保険；保険料；保険金
loan	貸付金、優志；貸付
contract	契約（書）；協定
mammal	哺乳動物
infant	乳児；幼児
protein	タンパク質
tissue	（生物の）組織；ティッシュペーパー
fault	責任；欠点；誤り
neighborhood	地域；近所
vote	投票；投票結果；選挙権
duty	義務；職務；関税
psychology	心理学
intelligent	聡明な；知能を有する
conscious	意識して、気づいて
cognitive	認知の
sensitive	敏感な；神経質な；微妙な
accurate	正確な；精密な
strict	厳格な；（規則などが）厳しい；猛烈な
severe	（人・規律などが）厳しい；猛烈な
actual	実際の
visual	視覚の；目に見える
FALSE	誤った；うその；偽の
illegal	違法の；不法の
violent	暴力的な；（人・気質が）激しい
military	群の
civil	市民の；民間の；民事の
typical	典型的な；特有の
universal	普遍的な；宇宙の；万能の
constant	絶え間ない；一定の
fundamental	基本的な；必須の
primary	最も重要な；第一の；初等（教育）の
rare	珍しい、希少な
convenient	便利な、都合のいい
enormous	巨大な、莫大な
concentrate	（を）集中する
investigate	を調査する；を研究する
adjust	を調整する；を適合させる；順応する
arrange	の段取りをつける；を手配する；を配置する
alter	を変える；変わる
confirm	を確認する
absorb	を吸収する；を併合する
expose	をさらす；を暴露する；を露出する
transfer	を移す；を伝える；
abandon	を捨てる；を放棄する
injure	を傷つける；を損なう
recover	回復する；を取り戻す
praise	を賞賛する；賛美する
favor	に賛成する；を好む；をひいきする
celebrate	を祝う；を挙行する
guarantee	を保証する
ensure	を確実にする；を間持つ
award	を授与する；を裁定する
grant	を与える；を認める
permit	を許可する
disappoint	を失望させる；（希望などを）くじく
embarrass	に恥ずかしい思いをさせる
bother	を悩ます；気にかける
upset	を動揺させる；をダメにする
inform	にしらせる；情報を提供する
warn	（人）に警告する
command	と命じる；を指揮する；を支配する
imply	を暗に意味する；を必然的に伴う
pretend	の段取りをつける；を手配する；を配置するふりをする
interpret	を解釈する；を通訳する
react	反応する
interact	影響しあう；相互に作用する
differ	異なる
breathe	呼吸する；を吸う
stare	（を）じっと見る
breed	を飼育する、繁殖させる
melt	溶ける；なごむ；を溶かす
investigate	（を）投資する；に与える
manufacture	を製造する；をでっちあげる
construct	を建設する；を構成する
wisdom	知恵；学識
insight	洞察力、見識
discipline	規律、しつけ；訓練；懲戒
habitat	生息地；（人の）居住地
territory	領土；領域
colny	植民地；居留地；コロニー
district	地区；行政区
shelter	避難（所）、保護
landscape	風景；領域
inhabitant	住民；生息動物
depression	憂鬱；うつ病；不況；低気圧
nerve	神経；神経過敏；度胸
wound	（銃弾・刃物などによる）傷；痛手
symptom	症状；兆候
therapy	療法；心理療法
welfare	福祉、幸福
incident	出来事、事件；紛争
witness	目撃者；承認；証拠、証言
glance	をちらっと見ること
ray	光線
ingredient	成分、材料；要素
agent	仲介者、代理人；薬剤
fee	料金；謝礼
sacrifice	犠牲；いけにえ
burden	負担；（重い）義務；積み荷
layer	層
row	列；（建物が並ぶ）通り
instruction	指示；仕様書
editor	編集者
stuff	（漠然と）物；素材；素質
mission	使命；（外交）使節団
procedure	手続き；（一連の）措置
immigration	（外国からの）移住
hybrid	ハイブリット車
opponent	（試合・論争などの）相手；反対者
outcome	結果
equality	平等、台東
reputation	評判
capable	能力がある；有能な
proper	適切な；正式の；固有の
sufficient	十分な
reasonable	合理的な；分別のある；手頃な
linguistic	言語の
verbal	言葉の；口頭での；逐語的な
bilingual	２言語を使う
contemporary	現代の；同時代の；同年輩の
conventional	従来の；月並みな
overall	全体的な
widespread	広範囲にわたる；広く普及した
domestic	家庭の；国内の；飼いならされた
distant	遠い；隔たった
nuclear	核の、原子力の
thick	厚い；太い；濃い
contrary	反対の
virtual	仮想の；事実上の
aggressive	攻撃的な；意欲的な
evil	邪悪な；有害な
elementary	初級の；基本的な
annual	一年間の；年一回の、例年の
immediate	即座の；当面の；すぐそばの；直接の
admire	に感嘆する
approve	賛成する；を承認する
devote	をささげる
pursue	を追求する；に従事する
dominate	を支配する；優勢である
possess	を所有している；心をとらえる
occupy	（空間・時間）を占める；を占領する
secure	を確保する；を守る
capture	を捉える；をひきつける
lend	を貸す；を与える
rent	を賃借りする；を賃貸しする
persuade	を説得する；に確信させる
urge	に感嘆する促す；を強く主張する；を追い立てる
stimulate	を刺激する
annoy	を悩ます；腹が立つ
scare	をおびえさせる；を脅す
crash	衝突する、墜落する；をぶつけて壊す
collapse	崩壊する；倒れる；折りたたむ
remark	と述べる
illustrate	を説明する；に挿絵を入れる
protest	講義する；主張する
declare	を宣言する；を申告する
isolate	を独立させる
accompany	に同行する；に付随する
surround	を取り巻く；にまつわる
endanger	を危険にさらす
exhaust	を疲れ果てさせる；を使い尽くす；排気する
disturb	をかき乱す；を邪魔する；を不安にする
puzzle	を当惑させる
quit	をやめる；（場所）を去る
cope	うまく処理する
enhance	（価値など）を高める
ease	を軽減する；和らぐ；緩む
apologize	謝る
acknowledge	を認める
resemble	に似ている
swallow	飲み込む；うのみにする；耐える
distribute	を分配する；分布する
export	輸出する
launch	を開始する；を売り出す；を発射する
justice	公正、正義；司法
courage	勇気
passion	情熱；熱中；激怒
bond	絆；債券；束縛；接着剤
companion	連れ；仲間
mood	気分；機嫌；雰囲気
prejudice	偏見
discrimination	差別；区別
priority	優先（事項）
globe	地球；世界；球
hemisphere	半球
boundary	境界（線）；限界
asteroid	小惑星；ヒトデ
gravity	重力、引力；重量；重大さ
component	構成要素；部品
liquid	液体
orbit	軌道；歯に
trace	痕跡；微量
treasure	宝物；財産
logic	論理；道理；原理
council	（地方）議会；評議会
profession	職業；専門職
secretary	秘書；事務官
jury	陪審（員団）；審査員団
physician	内科医
surgeon	外科医；軍医
guard	護衛者；監視、警戒
license	免許（証）
grocery	食料雑貨
litter	ごみ
drought	干ばつ、不足
blaze	炎
trap	わな；苦境
fate	運命；結末
luxury	ぜいたく（品）；豪華な
exception	例外
sum	金額；合計；要点
conservation	保護；保存
democratic	民主主義の；民主的な
numerous	非常に数の多い
minor	小さい；重要でない
superior	よりすぐれた
principal	主要な；資本金の
crucial	重要な；厳しい
vital	必要不可欠な；生き生きした
rational	理性的な；合理的な
anxious	心配して、切望して
curious	好奇心の強い；奇妙な
rude	無礼な；粗野な
remote	遠く離れた；かけ離れた
tropical	熱帯の
marine	海の；船舶の
extraordinary	異常な；並外れた
odd	奇妙な；奇数の
biological	生物学（上）の
racial	人種の、民族の
initial	初めの
distinct	明らかに異なる；明瞭な
pure	純粋な；潔白な；全くの
exact	正確な；まさにその
sustain	を持続させる；を支える
defend	防御する；を弁護する
foster	を促進する；を心に抱く
pile	を積み重ねる
attach	を付ける；を付与する
pour	を注ぐ；を放出する
load	に積む；に負わせる
stretch	を伸ばす；を広げる
convey	を伝える；を運ぶ
derive	由来する；を引き出す
tap	有効利用する；を引き出す；を軽くたたく
calculate	を計算する；を予測する
suspect	ではないかと思う；疑う
detect	を感知する；を見つけ出す
attribute	（結果など）を帰する
evaluate	を評価する；を査定する
accuse	を非難する；を告訴する
sue	を告訴する；訴訟を起こす
retire	引退する、退職する
shrink	縮む；減少する；ひるむ
bow	お辞儀する；屈服する
peer	じっと見る
delight	を喜ばせる
relieve	を和らげる；安心する；開放する
discoutage	やる気をなくさせる；を落胆させる
frustrate	を挫折させる；不満を抱く
neglect	を怠る；を無視する
resist	に抵抗する；に耐える
restrict	を制限する
eliminate	を取り除く
beat	を打つ、打ち負かす
defeat	を負かす；を失敗させる
punish	を罰する
prohibit	を禁止する
deserve	に値する
pose	を提起する；ポーズをとる
fold	を折りたたむ；たためる
monitor	を監視する；を傍受する
specialize	専門とする
accomplish	を成し遂げる
faith	信頼；信仰（心）
ambition	野望；野心
enthusiasm	熱情
honor	光栄；名誉；敬意
discount	割引
fare	料金
frame	枠、ふち；骨組み；体格
mode	方式；気分；携帯；流行
architecture	建築；構造
sequence	一連；連続
usage	語法；使用（法）
abuse	濫用；虐待
pesticide	殺虫剤；除草剤
pollen	花粉
prefecture	県、府
geography	地理；地理学
administration	管理（部）；行政；政府（機関）
candidate	候補（者）
rubbish	ごみ；つまらないもの
bias	偏見；傾向
vice	悪；欠点
debt	借金；恩義
prospect	見込み：展望；有望な人
expedition	遠征（隊）
session	集まり；（議会の）会期；（開会中の）議会
semester	学期
reef	（岩や砂の）礁；暗礁
mineral	鉱物；ミネラル
sibling	きょうだい
proverb	ことわざ
instinct	本能；（自然におこる）衝動；勘
minimum	最小限度
millenium	千年間、千年紀
donor	寄贈者；臓器[血液]提供者
herd	（牛などの）群れ；群衆
league	（競技）連盟；同盟
cooperation	協力
fairy	妖精の（ような）
precise	正確な；精密な；まさにその
intense	強烈な；熱烈な
solid	個体の；頑丈な
permanent	永続的な
brief	短い；簡潔な
flexible	融通のきく、柔軟な
informal	形式ばらない、略式の
temporary	一時的な
frequent	頻繁な
visible	（目に）見える；明白な
external	外部の；対照的な；表面てきな
internal	内部の；国内の；内面的な
plain	明らかな；平易な；率直な
modest	謙虚な；適度な；質素な
equivalent	等しい、相当する
incredible	信じられない；すばらしい
guilty	罪悪感のある；有罪の
raw	生の；未加工の
manial	身体を使う；手の；主導の
literary	文学の；文語の
artifical	人工の；不自然な
sophisticated	洗練された；精巧な
polish	を磨く；を洗練させる
embrace	を受け入れる；抱擁する；を包含する
compose	を構成する；を制作する；を鎮静する
imitate	をまねる；を模倣する
yield	をもたらす；を算出する；を譲る；屈する
exhibit	を展示する；（感情など）を表す
impress	を感動させる；に感情を与える
overwhelm	を圧倒する；を打ちのめす
interrupt	をちゅうだんさせる；（の）邪魔をする
endure	に耐える；存続する
confront	に立ち向かう；（困難などが）に立ちはだかる
consult	（に）相談する；を参照する
bump	に偶然である；ぶつかる；ぶつける
dispute	に異議を唱える；（を）議論する
negotiate	交渉する；を（交渉して）取り決める
justify	を正当化する
resolve	を解決する；を決意する；を議決する
reverse	を逆転させる；を反対にする
convert	を変える；を交換する
impose	を課す；を押しつける
govern	（を）支配する；（を）統治する
esteem	を尊敬する；を見なす
assist	（を）援助する；を手伝う
rescue	を救う
entertain	を楽しませる；をもてなす
ruin	をダメにする；を破滅させる；滅亡する
bury	を埋める；を埋葬する；を隠す
owe	に借りがある；のおかげである
chew	（を）噛む
bend	を曲げる；を屈服させる；曲がる
quote	を引用する；を引き合いに出す
classify	を分類する：を機密扱いにする
seal	を密閉する；に封をする
arrest	を逮捕する；を止める；（注意）を引く
substitute	を代わりに使う；代理をする
retain	を保持する；を覚えている
restore	を回復させる；を修復する
float	浮かぶ；漂う；を浮かべる
leap	飛ぶ；殺到ごく；急上昇する
blossom	花が咲く；発展する
merit	利点；功績；真価
faculty	能力、機能；学部；教授陣
charm	魅力；お守り
nutrition	栄養（の摂取）
beverage	（水以外の）飲みもの、飲料
recipe	調理法、レシピ；手順
molecule	分子；微粒子
ecology	生態学；生態系；環境保護
ethics	倫理、道徳
mankind	人類
nationality	国籍；国民；国民性
pension	年金
scheme	計画；体系；陰謀
haven	避難所、保護区；港
formation	形性；構成物；隊列
skeleton	骨格；骨組み
core	核心；芯
stem	（草木の）茎、幹
span	期間；範囲
limitation	制限；限界
obstacle	障害（物）
province	州、県；地方；分野
galaxy	星雲、銀河
sensation	感覚；大評判
sympathy	同情；共感
pity	哀れみ；残念なこと
tragedy	悲劇（的な事件）
divorce	離婚；分離
theft	窃盗（罪）
panic	狼狽、パニック
retreat	後退、退却；引退
jail	刑務所、拘置所
blade	刃；（プロペラなどの）羽；集
stroke	脳卒中；打つこと；一撃
clue	手掛かり；ヒント
queue	列
enterprise	企業；事業；進取の気性
fortune	財産；幸運；運命
stable	安定した；動じない
steady	着実な；安定した
mature	成熟した；熟した
eager	熱望して；熱心な
reluctant	気が進まない、嫌がる
humrous	ひょうきんな；ユーモアのある
fluent	流暢な
prime	最も重要な、第一の
precious	貴重な；高価な
artistic	芸術的な
ethnic	民族の、人種の；民族特有の
primitive	原始的な；未開の
federal	連邦（政府）の
royal	王の
mutual	相互の；共通の
apparent	明白な；一見…らしい
casual	何気ない；形式ばらない
slight	わずかな；取るに足らない
mere	単なる、ほんの
spare	余分の；予備の
sbstract	抽象的な
ultimate	究極の
venture	危険を冒して進む；思い切ってする
chase	追跡する；追及する
migrate	移住する；（鳥などが）渡る
flee	逃げる
swing	を揺らす、振る；揺れる；一変する
hesitate	躊躇する
postpone	を延期する
withdraw	を引き出す；を撤回する；撤退する
grip	を握る；をとらえる
grab	をつかむ；を横領する；を急いで食べる
grasp	を把握する；をしっかり握る
gaze	じっと見る
scan	を注意深く調べる；をざっと見る
forecast	を予想する；を予報する
register	を記録する、登録する；を示す
advocate	を主張する；を擁護する
trigger	を引き起こす
cultivate	を養う；を栽培する
qualify	逃げる視覚を与える；資格がある
interfere	干渉する；介入する；邪魔する
clog	を詰まらせる；を阻害する；詰まる
distract	（注意など）をそらす
forbid	を禁じる
deceive	をだます
overlook	を見落とす；を大目に見る；を見渡す
dismiss	（意見などを）退ける；を解雇する
spoil	を台無しにする；を甘やかす；だめになる
yawn	あくびをする
greet	に挨拶する；を迎える
nod	うなずくｋ；うとうとする
obey	に従う；に服従する
undergo	を経験する；を受ける；に耐える
rear	（人・動物・植物）を育てる
heal	を治す；直る
cite	を引き合いに出す；を囲繞する
modify	を修正する；を緩和する
exaggerate	誇張する;を強調する
burst	破裂する；突然始める
thrill	をぞくぞくさせる；わくわくする
exceed	を超える；に勝る
privilege	特権；特典
liberty	自由；開放；気まま
prosperity	繁栄
heritage	遺産
congress	議会；会議
parliament	議会；国会議員団
infrastructure	基盤；インフラ
dimension	側面、局面；次元；寸法
portion	部分；１人前；割り当て
supplement	栄養補助剤；補足
apperite	食欲；欲求
temper	気質、気性；機嫌；かんしゃく
fancy	（きまぐれな）好み；空想；思いつき
illusion	錯覚、思い違い；幻想
fatigue	疲労
stress	ストレス；圧力；強調
hazard	危険（要素）；偶然
infection	感染（症）
famine	飢饉；ひどい不足
chaos	混沌；大混乱
distress	苦悩；苦痛；困窮
shame	恥；残念なこと
cattle	（集合的に）牛
predator	捕食動物；略奪者
wilderness	荒野
shade	（日）陰；明暗の度合い；日よけ
monk	修道士、僧
priest	聖職者
funeral	葬式
transition	移り変わり；過渡期
circulation	循環；流通；発行部数
adolescent	青年
equation	方程式；同一視
patent	特許（権）；特許品
metaphor	隠喩；比喩
narrative	物語、話
consent	同意、承諾
dignity	尊厳；威厳
relevant	関係がある；適切な
adequate	十分な；適切な
genuine	本物の
prompt	迅速な
intimate	親密な；密接な
alert	警戒して；敏速な
conservative	保守的な；保守党の；控えめな
indifferent	無関心な
alien	異質の；外国の
random	無作為の；手当たりしだいの
subtle	微妙な；希薄な
moderate	適度な；穏健な
multiple	多様な
polar	極地の；電極の
arctic	北極の
acid	賛成の；辛辣な
cosmetic	化粧の；美容の
extinct	絶滅した；廃止された
spiritual	精神の；霊的な
meaningful	意味のある
mechanical	機会の；機械的な
dynamic	活動的な；動的な
boost	を高める；を増加させる
reinforce	を強化する
accumulate	を蓄積する；積もる
nurture	をはぐくむ；を要請する
accustom	を慣れさせる
correspond	一致する；文通する
assign	を配属する；を割り当てる
regulate	を規制する；を調整する
violate	を侵害する；を破る
irritate	をいらいらさせる
insult	を侮辱する
diminish	を減らす；減少する
exclude	を除外する
rob	から（金品を）奪う
deprive	から（権利など）を奪う
deposit	を置く；を預ける；を堆積させる
twist	をねじる、ひねる；を歪曲する
blend	を混ぜる；を調和させる
mount	に着手する；に乗る；に乗せる；増える
pitch	を投げる
cast	を投じる；に役を当てる
dump	を投棄する；を落とす
anticipate	を予期する
assess	を評価する；を査定する
pronounce	を宣言する；を発音する
spell	（語）をつづる；という語になる
portray	を描く；を演じる
astonish	を驚かす
emit	（光・音など）を出す
cough	咳をする
wander	歩き回る；それる、はぐれる
drift	漂う；さまよう；を押し流す
cease	をやめる；終わる
underlie	の根底にある
constitute	を構成する
